OrderID,SKU,Style,Category,Amount,Currency
407-2974257-4781134,SET264-KR-NP-M,SET264,Set,824.0,INR
171-4137548-0481151,JNE3373-KR-XXL,JNE3373,kurta,,
405-4461562-9113959,SET333-KR-DPT-XXL,SET333,Set,909.0,INR
404-4535078-5241919,JNE3645-TP-N-L,JNE3645,Top,432.0,INR
405-8387725-2971512,SET233-KR-PP-L,SET233,Set,545.0,INR
405-6480932-8759528,J0381-SKD-XXXL,J0381,Set,1146.0,INR
405-9966506-3155561,JNE3068-KR-A-XL,JNE3068,kurta,696.0,INR
408-7029737-8028367,JNE3718-KR-M,JNE3718,kurta,432.0,INR
407-2189901-7515567,SET386-KR-NP-S,SET386,Set,631.0,INR
402-2105657-2899562,JNE3745-KR-XXL,JNE3745,kurta,316.0,INR
406-1326801-8886709,JNE3467-KR-XL,JNE3467,kurta,362.0,INR
408-7760667-5809130,JNE3721-KR-L,JNE3721,kurta,329.0,INR
405-8457623-9269955,JNE3405-KR-XXL,JNE3405,kurta,399.0,INR
408-6820155-3521913,SET295-KR-NP-XXXL,SET295,Set,751.0,INR
403-6190683-2687538,JNE3861-DR-XL,JNE3861,Western Dress,791.0,INR
408-4069830-3819562,SET288-KR-NP-XXXL,SET288,Set,684.0,INR
408-4069830-3819562,SET394-KR-NP-XXXL,SET394,Set,1281.0,INR
408-4069830-3819562,SET397-KR-NP-XXXL,SET397,Set,1186.0,INR
171-7367545-7081126,MEN5002-KR-XXL,MEN5002,kurta,499.0,INR
404-6522553-9345930,SET377-KR-NP-M,SET377,Set,1105.36,INR
403-9950518-0349133,JNE3510-KR-M,JNE3510,kurta,,
407-6599093-6553153,BTM038-PP-XXXL,BTM038,Bottom,377.0,INR
403-3763475-2237125,J0343-DR-M,J0343,Western Dress,744.0,INR
405-1492294-0323520,J0341-DR-XL,J0341,Western Dress,744.0,INR
403-1162895-2484367,J0295-DR-XXL,J0295,Western Dress,859.0,INR
171-6833843-5473114,JNE3560-KR-M,JNE3560,kurta,487.0,INR
403-1477057-8253913,J0333-DR-XXXL,J0333,Western Dress,825.0,INR
408-2114413-6089906,SET389-KR-NP-M,SET389,Set,680.0,INR
405-1879750-2639521,JNE3801-KR-XXXL,JNE3801,kurta,725.0,INR
406-5727754-5302723,SET098-KR-PP-M,SET098,Set,696.0,INR
405-0901744-8270705,MEN5013-KR-L,MEN5013,kurta,499.0,INR
408-6357132-2310703,J0003-SET-L,J0003,Set,696.0,INR
406-5334922-9670748,JNE3718-KR-XXXL,JNE3718,kurta,406.0,INR
402-8519791-3706738,SET347-KR-NP-S,SET347,Set,852.0,INR
406-5103760-7326749,JNE3391-KR-XXL,JNE3391,kurta,432.0,INR
408-7698765-2294756,SET277-KR-NP-XXL,SET277,Set,1338.0,INR
404-1856281-9996319,J0293-DR-S,J0293,Western Dress,472.0,INR
405-5257740-5301158,SET154-KR-NP-XL,SET154,Set,832.0,INR
405-5257740-5301158,JNE3439-KR-XL,JNE3439,kurta,399.0,INR
405-2072502-4089911,SET291-KR-PP-XL,SET291,Set,599.0,INR
405-0882561-5952340,SET293-KR-NP-M,SET293,Set,692.0,INR
403-7266170-1163500,JNE3648-TP-N-M,JNE3648,Top,518.0,INR
171-6138639-1478731,JNE3334-KR-M,JNE3334,kurta,318.0,INR
405-4059216-4541150,SET331-KR-NP-XS,SET331,Set,597.0,INR
405-1152015-7333945,SET265-KR-NP-S,SET265,Set,888.0,INR
406-0177436-6731556,JNE3718-KR-S,JNE3718,kurta,406.0,INR
406-0715107-8168308,SET397-KR-NP  -M,SET397,Set,1186.0,INR
403-0104882-7373900,JNE3861-DR-XXL,JNE3861,Western Dress,791.0,INR
403-0104882-7373900,J0335-DR-XL,J0335,Western Dress,807.0,INR
403-0104882-7373900,J0335-DR-XXL,J0335,Western Dress,807.0,INR
405-3002282-6797102,JNE1525-KR-UDF19-A-S,JNE1525,kurta,311.0,INR
407-8466904-3461908,JNE3654-TP-XL,JNE3654,Top,387.0,INR
171-3305587-5364338,JNE3261-KR-S,JNE3261,kurta,348.0,INR
406-8961316-8137943,SET324-KR-NP-S,SET324,Set,597.0,INR
406-8961316-8137943,SET332-KR-PP-S,SET332,Set,549.0,INR
171-2813040-8296320,SET324-KR-NP-XXXL,SET324,Set,635.0,INR
402-4277204-2348328,SET280-KR-PP-S,SET280,Set,790.0,INR
171-3049339-2085136,JNE3618-KR-XXL,JNE3618,kurta,375.0,INR
405-9928526-2470747,SET304-KR-DPT-XS,SET304,Set,1115.0,INR
405-4908072-0260360,MEN5032-KR-XXXL,MEN5032,kurta,579.0,INR
406-3984186-5973150,SET110-KR-PP-XXL,SET110,Set,788.0,INR
171-8635309-7508346,SET324-KR-NP-M,SET324,Set,597.0,INR
171-0293372-4913973,SET269-KR-NP-XXXL,SET269,Set,,
402-8288606-4313118,JNE3794-KR-M,JNE3794,kurta,517.0,INR
402-8746990-6412346,JNE3291-KR-XXL,JNE3291,kurta,442.0,INR
402-0294212-5431551,JNE3440-KR-N-XXXL,JNE3440,kurta,399.0,INR
406-1530134-2105912,JNE2270-KR-487-A-XXL,JNE2270,kurta,518.0,INR
403-5222550-4437140,JNE3261-KR-M,JNE3261,kurta,348.0,INR
408-1482435-5202714,SET110-KR-PP-M,SET110,Set,788.0,INR
403-6442534-2769112,J0300-TP-XXXL,J0300,Top,,
404-7796841-1880317,JNE3810-KR-S,JNE3810,kurta,696.0,INR
405-2142542-0941949,JNE3461-KR-XL,JNE3461,kurta,363.0,INR
405-0286717-7761132,JNE3429-KR-XL,JNE3429,kurta,299.0,INR
406-9021273-9221106,JNE3710-DR-S,JNE3710,Western Dress,690.0,INR
404-5381335-4577925,J0113-TP-XS,J0113,Top,574.0,INR
171-0131752-2560336,SET355-KR-PP-M,SET355,Set,1399.0,INR
407-4235449-1353916,J0009-SKD-S,J0009,Set,999.0,INR
171-8061614-5688327,J0248-KR-DPT-XL,J0248,Set,999.0,INR
407-8248783-4261958,JNE3560-KR-XL,JNE3560,kurta,487.0,INR
404-6513062-3876305,JNE3373-KR-XXXL,JNE3373,kurta,376.0,INR
406-7779874-9136347,SET398-KR-PP-L,SET398,Set,1115.0,INR
406-9638549-1733961,NW032-ST-CP-XXL,NW032,Set,517.0,INR
407-8801185-0134713,SET361-KR-NP-S,SET361,Set,1126.0,INR
171-3625443-6505905,JNE3797-KR-L,JNE3797,Western Dress,725.0,INR
402-8078642-8565124,JNE3887-KR-XL,JNE3887,kurta,,
402-2820441-9623566,JNE3870-DR-XXL,JNE3870,Western Dress,721.0,INR
171-4312987-5366767,SET345-KR-NP-XS,SET345,Set,666.0,INR
403-5189998-9343503,NW013-ST-SR-L,NW013,Set,496.0,INR
407-9863928-5979501,JNE2014-KR-178-XL,JNE2014,kurta,353.0,INR
171-4644162-9093116,JNE3612-KR-S,JNE3612,kurta,399.0,INR
406-0974406-3179521,PJNE2100-KR-N-6XL,PJNE2100,kurta,458.0,INR
402-0048138-1845122,SET398-KR-PP-XXXL,SET398,Set,1115.0,INR
407-6283946-7749133,J0006-SET-M,J0006,Ethnic Dress,845.0,INR
407-3742007-3242711,JNE3437-KR-S,JNE3437,kurta,517.0,INR
407-3742007-3242711,JNE3465-KR-S,JNE3465,kurta,517.0,INR
405-3067317-3360344,J0373-KR-XXXL,J0373,kurta,599.0,INR
406-5648244-8317954,J0344-TP-XXXL,J0344,Top,487.0,INR
171-3460653-0171519,J0118-TP-XXL,J0118,Top,487.0,INR
404-5337874-2284337,SET200-KR-NP-A-XS,SET200,Set,568.0,INR
402-3329522-2367566,JNE1998-KR-311-XXL,JNE1998,kurta,295.0,INR
406-3078054-1755513,MEN5004-KR-XXXL,MEN5004,kurta,484.0,INR
171-4647176-6456305,SET345-KR-NP-XXL,SET345,Set,626.0,INR
407-4097885-3129958,JNE3654-TP-L,JNE3654,Top,387.0,INR
171-1224053-5752314,J0344-TP-L,J0344,Top,463.81,INR
406-2849582-6531553,J0334-TP-L,J0334,Top,512.0,INR
407-5875767-6399551,J0230-SKD-S,J0230,Set,1112.0,INR
404-3907920-5281963,JNE1233-BLUE-KR-031-XXL,JNE1233,kurta,376.0,INR
408-7310428-6047538,J0295-DR-M,J0295,Western Dress,859.0,INR
403-2608092-6065935,SET324-KR-NP-L,SET324,Set,597.0,INR
405-0732969-3941948,J0147-SET-XL,J0147,Set,583.0,INR
402-2720308-2560327,J0308-DR-L,J0308,Western Dress,665.0,INR
402-0589123-6183541,NW030-TP-PJ-L,NW030,Set,582.0,INR
408-3874942-9917143,SET360-KR-NP-XL,SET360,Set,1126.0,INR
402-1706149-0949104,PJNE3373-KR-N-6XL,PJNE3373,kurta,534.0,INR
407-1672316-3245939,JNE3449-KR-XXL,JNE3449,kurta,319.0,INR
405-1832646-7988329,JNE3786-KR-S,JNE3786,kurta,368.0,INR
402-9339129-6219537,J0003-SET-XXL,J0003,Set,654.0,INR
405-3036350-8089120,J0314-KR-M,J0314,kurta,795.0,INR
404-6680046-0839536,J0341-DR-M,J0341,Western Dress,744.0,INR
406-2966654-4672325,PJNE3068-KR-4XL,PJNE3068,kurta,692.0,INR
403-4845285-4565113,J0340-TP-M,J0340,Top,563.0,INR
171-4496851-5319548,JNE3687-TU-M,JNE3687,Top,545.0,INR
408-3416118-1167564,J0376-SKD-L,J0376,Set,999.0,INR
404-0363929-8015528,J0198-TP-S,J0198,Top,588.0,INR
407-7173744-5333154,JNE3453-KR-S,JNE3453,kurta,497.0,INR
171-1851948-5476361,SET398-KR-PP-M,SET398,Set,1115.0,INR
171-5810429-4493110,NW033-ST-CP-XXXL,NW033,Set,582.0,INR
171-1068229-1581965,NW037-TP-SR-XXXL,NW037,Set,449.0,INR
402-2105140-3584364,JNE3618-KR-M,JNE3618,kurta,375.0,INR
403-3561336-3563535,SET290-KR-DPT-M,SET290,Set,771.0,INR
408-4547464-4180323,JNE3568-KR-XXL,JNE3568,kurta,0.0,INR
402-2211107-5096323,J0003-SET-XXXL,J0003,Set,654.0,INR
403-9412025-7537140,JNE2153-KR-278-A-S,JNE2153,kurta,424.0,INR
171-8452330-4756317,JNE3645-TP-N-XS,JNE3645,Top,432.0,INR
171-4350114-4299568,JNE3662-TP-XS,JNE3662,Top,399.0,INR
405-8692900-3888310,JNE3440-KR-N-L,JNE3440,kurta,399.0,INR
402-6750101-3923558,SET331-KR-NP-S,SET331,Set,597.0,INR
403-5725327-6264327,J0301-TP-M,J0301,Top,463.0,INR
403-5209693-1173944,MEN5004-KR-XL,MEN5004,kurta,484.0,INR
403-8255889-7526765,J0352-KR-S,J0352,kurta,635.0,INR
407-3554912-7244363,JNE3160-KR-G-XXL,JNE3160,kurta,685.0,INR
407-4737202-9096304,JNE3798-KR-M,JNE3798,Western Dress,725.0,INR
171-2842936-5423534,JNE3690-TU-XL,JNE3690,Top,487.0,INR
407-4936046-5852304,SET355-KR-PP-XXL,SET355,Set,1249.11,INR
407-4936046-5852304,SET317-KR-PP-XXL,SET317,Set,1058.93,INR
402-9580874-3525948,SET375-KR-NP-XL,SET375,Set,696.0,INR
404-7426070-1355530,JNE3371-KR-M,JNE3371,kurta,329.0,INR
171-3505516-3505949,SET116-KR-NP-XL,SET116,Set,591.0,INR
406-6180074-2350757,SET147-KR-NP-XL,SET147,Set,684.0,INR
406-6180074-2350757,SET397-KR-NP-XL,SET397,Set,1115.0,INR
406-2403215-8361103,SET300-KR-NP-L,SET300,Set,999.0,INR
404-6578109-5618751,JNE3384-KR-M,JNE3384,kurta,295.0,INR
407-2307966-4961113,JNE3291-KR-XL,JNE3291,kurta,442.0,INR
404-5539778-0029904,SET291-KR-PP-L,SET291,Set,563.0,INR
171-6222676-0740318,JNE3399-KR-L,JNE3399,kurta,435.0,INR
407-5766340-7411567,JNE3440-KR-N-XS,JNE3440,kurta,399.0,INR
408-2759943-9849959,SET363-KR-NP-XXL,SET363,Set,1338.0,INR
404-0696150-3898703,J0348-SET-S,J0348,Set,499.0,INR
406-7586136-6520337,J0399-DR-M,J0399,Western Dress,791.0,INR
407-6146457-8788352,JNE3797-KR-M,JNE3797,Western Dress,725.0,INR
404-8514200-3544346,JNE3440-KR-N-M,JNE3440,kurta,,
404-7452877-2137949,JNE3802-KR-M,JNE3802,kurta,,
402-2703790-2816329,J0285-SKD-M,J0285,Set,1278.57,INR
407-1515930-8661921,SET322-KR-SHA-XL,SET322,Set,1099.0,INR
405-9144614-1601126,MEN5021-KR-XL,MEN5021,kurta,533.0,INR
407-0994909-4122733,PJ0096-KR-N-5XL,PJ0096,kurta,696.0,INR
402-7042386-5486768,JNE3461-KR-M,JNE3461,kurta,363.0,INR
403-7652993-1507525,SET383-KR-NP-L,SET383,Set,631.0,INR
407-3847456-6656309,J0002-SKD-XXXL,J0002,Set,1115.0,INR
407-3847456-6656309,SET344-KR-NP-XXXL,SET344,Set,968.0,INR
171-7623384-8040337,JNE3465-KR-XXL,JNE3465,kurta,486.0,INR
171-7623384-8040337,SET324-KR-NP-XXL,SET324,Set,597.0,INR
171-4607096-6413920,SET184-KR-PP-XXXL,SET184,Set,563.0,INR
402-5586272-3646748,J0008-SKD-S,J0008,Set,1065.0,INR
171-6655820-6440356,J0008-SKD-XXL,J0008,Set,2130.0,INR
171-1584788-8864335,J0013-SKD-XXL,J0013,Set,1099.0,INR
402-0150402-0900371,J0208-DR-S,J0208,Western Dress,721.0,INR
408-6791822-5493964,SET344-KR-NP-XL,SET344,Set,968.0,INR
405-0483874-0889137,NW001-TP-PJ-XXL,NW001,Set,563.0,INR
407-5600921-2143569,SET304-KR-DPT-S,SET304,Set,995.54,INR
404-1607808-0769930,SET265-KR-NP-XL,SET265,Set,,
407-5124083-2725136,SET004-KR-SP-A-S,SET004,Set,682.0,INR
402-2207276-9869933,J0012-SKD-M,J0012,Set,1140.0,INR
407-9494293-9423561,JNE3465-KR-M,JNE3465,kurta,486.0,INR
171-6867266-8495534,SET374-KR-NP-XS,SET374,Set,597.0,INR
408-3475592-6193128,JNE3567-KR-XL,JNE3567,kurta,399.0,INR
171-1987024-2709164,J0041-SET-M,J0041,Set,660.0,INR
406-1522425-5387565,JNE3611-KR-XL,JNE3611,kurta,459.0,INR
171-3270734-5045130,SET384-KR-NP-XS,SET384,Set,631.0,INR
406-8271099-5133911,JNE3635-KR-L,JNE3635,kurta,345.0,INR
405-3441326-1516368,J0118-TP-XXXL,J0118,Top,518.0,INR
408-8009772-6580317,JNE3654-TP-XS,JNE3654,Top,387.0,INR
402-4774686-7773937,JNE3652-TP-N-XL,JNE3652,Top,339.0,INR
402-2860689-5652319,J0339-DR-L,J0339,Western Dress,744.0,INR
406-6386989-1689108,SET303-KR-NP-XL,SET303,Set,888.0,INR
408-9720884-9553122,JNE3396-KR-XXXL,JNE3396,kurta,487.0,INR
408-6428766-2839536,JNE3256-KR-XXXL,JNE3256,kurta,487.0,INR
408-8641795-6914711,J0340-TP-XS,J0340,Top,563.0,INR
402-9475978-1434754,J0335-DR-S,J0335,Western Dress,859.0,INR
407-5776821-9327552,J0008-SKD-L,J0008,Set,1133.0,INR
171-6845071-0336346,SET268-KR-NP-XS,SET268,Set,788.0,INR
404-7491342-1035558,J0280-SKD-S,J0280,Set,1463.0,INR
402-0043314-1059527,J0339-DR-M,J0339,Western Dress,744.0,INR
406-6586654-6641140,JNE3564-KR-XXXL,JNE3564,kurta,487.0,INR
405-6120626-0941135,SET182-KR-DH-L,SET182,Set,657.0,INR
408-9255314-3102740,SET128-KR-DH-M,SET128,Set,1133.0,INR
408-3436456-9893130,JNE3567-KR-XXL,JNE3567,kurta,399.0,INR
408-3870331-6287517,JNE3568-KR-L,JNE3568,kurta,399.0,INR
403-2256919-4846738,JNE3881-DR-XXXL,JNE3881,Western Dress,825.0,INR
403-2920089-2403567,JNE3639-TP-N-XXL,JNE3639,Top,487.0,INR
406-7792526-4685142,SET291-KR-PP-XXL,SET291,Set,563.0,INR
406-7680255-6117120,JNE3613-KR-XXL,JNE3613,kurta,399.0,INR
402-4646784-8411501,JNE3368-KR-XXXL,JNE3368,kurta,471.0,INR
405-2788163-4515521,JNE3522-KR-XXL,JNE3522,kurta,342.0,INR
405-1757140-2025918,JNE3741-KR-XXL,JNE3741,kurta,432.0,INR
402-0503400-6235514,SET293-KR-NP-S,SET293,Set,736.0,INR
408-3201739-2676310,SET388-KR-NP-L,SET388,Set,1260.0,INR
403-3331597-7637100,J0008-SKD-XS,J0008,Set,1133.0,INR
403-4424319-6635501,SET197-KR-NP-L,SET197,Set,759.0,INR
403-0906375-2269150,MEN5029-KR-M,MEN5029,kurta,475.0,INR
406-7261451-5682727,J0341-DR-XS,J0341,Western Dress,744.0,INR
407-5096970-7475550,J0010-LCD-L,J0010,Set,1902.86,INR
402-6566640-5417947,JNE3800-KR-M,JNE3800,Western Dress,771.0,INR
408-5540360-9479519,SET183-KR-DH-M,SET183,Set,759.0,INR
406-6711228-7576354,J0341-DR-XXL,J0341,Western Dress,791.0,INR
171-1425554-3718756,J0341-DR-XXXL,J0341,Western Dress,744.0,INR
171-2134173-5385136,J0331-KR-XXXL,J0331,kurta,782.0,INR
171-2134173-5385136,JNE3752-KR-XXXL,JNE3752,kurta,362.0,INR
402-2155477-9353103,SET369-KR-NP-XXL,SET369,Set,1173.0,INR
171-1887627-9813158,JNE3373-KR-XS,JNE3373,kurta,376.0,INR
408-7712483-3825907,JNE3805-KR-L,JNE3805,kurta,459.0,INR
404-8745561-3169903,JNE3537-KR-M,JNE3537,kurta,379.0,INR
404-1508602-9433941,J0003-SET-XL,J0003,Set,696.0,INR
171-3537751-4007556,SET436-KR-NP-XXXL,SET436,Set,1999.0,INR
408-5990312-3581165,SET264-KR-NP-XXL,SET264,Set,824.0,INR
403-6062596-1220349,JNE3567-KR-XS,JNE3567,kurta,399.0,INR
171-8220241-5105927,J0329-KR-XXXL,J0329,kurta,737.0,INR
408-9405529-3743511,JNE3568-KR-XL,JNE3568,kurta,399.0,INR
402-3595365-1666728,SET341-KR-NP-L,SET341,Set,899.0,INR
407-3271219-3762757,JNE3543-KR-M,JNE3543,kurta,368.0,INR
402-5525660-2118707,JNE3365-KR-1052-A-S,JNE3365,kurta,376.0,INR
406-9941718-1734719,JNE3759-KR-XL,JNE3759,kurta,544.0,INR
171-1297873-2176339,MEN5001-KR-L,MEN5001,kurta,499.0,INR
407-6401192-4057954,J0098-TP-XS,J0098,Top,426.0,INR
171-9620288-8918704,SET226-KR-PP-L,SET226,Set,,
402-8089760-1132331,SET380-KR-NP-XXXL,SET380,Set,995.0,INR
403-7042175-3905937,MEN5009-KR-M,MEN5009,kurta,499.0,INR
403-7042175-3905937,MEN5011-KR-M,MEN5011,kurta,499.0,INR
171-7306449-0588335,MEN5032-KR-S,MEN5032,kurta,562.0,INR
406-5729580-2175565,SET359-KR-NP-XXL,SET359,Set,1099.0,INR
404-2255967-5457950,J0199-SET-XXXL,J0199,Set,476.0,INR
407-7642883-3094732,J0401-DR-L,J0401,Western Dress,885.0,INR
404-7608918-0571517,J0003-SET-XS,J0003,Set,654.0,INR
171-6589781-2209965,J0308-DR-XL,J0308,Western Dress,625.0,INR
405-3071731-6600369,PJNE3252-KR-N-6XL,PJNE3252,kurta,563.0,INR
404-6026001-1717923,JNE3752-KR-M,JNE3752,kurta,344.76,INR
404-4026534-0431517,SET217-KR-PP-XXXL,SET217,Set,,
406-4970885-3273941,JNE3799-KR-XL,JNE3799,kurta,666.0,INR
406-7501816-7391539,JNE3294-KR-S,JNE3294,kurta,432.0,INR
408-5211576-2061139,SET356-KR-NP-XXXL,SET356,Set,1099.0,INR
406-9632792-8869139,JNE2014-KR-178-XXXL,JNE2014,kurta,353.0,INR
408-7971979-8745937,J0401-DR-XS,J0401,Western Dress,0.0,INR
408-0912805-7526753,SET365-KR-NP-L,SET365,Set,0.0,INR
402-2403704-9667560,JNE3405-KR-XXXL,JNE3405,kurta,399.0,INR
405-2822825-3877133,J0230-SKD-XXL,J0230,Set,1112.0,INR
171-5222377-4501935,JNE3465-KR-XXXL,JNE3465,kurta,517.0,INR
171-2644368-7969167,SET265-KR-NP-M,SET265,Set,888.0,INR
171-2644368-7969167,JNE3288-KR-M,JNE3288,kurta,442.0,INR
171-2644368-7969167,SET316-KR-DPT-M,SET316,Set,1149.0,INR
171-1758807-7455529,SET268-KR-NP-S,SET268,Set,788.0,INR
404-5848202-7366725,JNE3800-KR-XXL,JNE3800,Western Dress,734.29,INR
407-2028379-9672355,JNE2270-KR-487-A-L,JNE2270,kurta,518.0,INR
408-3337319-8990747,MEN5024-KR-M,MEN5024,kurta,475.0,INR
407-1256885-2004349,MEN5023-KR-XL,MEN5023,kurta,549.0,INR
406-3702147-1800341,JNE3797-KR-XS,JNE3797,Western Dress,725.0,INR
404-5867260-9073129,JNE3515-KR-XL,JNE3515,kurta,437.14,INR
404-0532727-2082745,J0225-SKD-XXL,J0225,Set,1499.0,INR
403-8966287-7773106,JNE3461-KR-L,JNE3461,kurta,363.0,INR
408-1512444-4965152,JNE3618-KR-XS,JNE3618,kurta,399.0,INR
171-9451879-3651542,PJNE3405-KR-N-5XL,PJNE3405,kurta,487.0,INR
402-0251823-0845133,JNE3500-KR-S,JNE3500,kurta,353.0,INR
403-4673019-6572340,JNE3368-KR-XXL,JNE3368,kurta,471.0,INR
171-4549643-0067500,JNE2270-KR-487-A-XL,JNE2270,kurta,,
406-6906315-9570765,JNE3568-KR-S,JNE3568,kurta,399.0,INR
407-3562449-1962729,J0096-KR-S,J0096,kurta,568.0,INR
408-2593644-6317933,SET319-KR-NP-S,SET319,Set,835.0,INR
405-7398388-2654744,J0415-DR-L,J0415,Western Dress,899.0,INR
405-5066690-4132337,JNE3718-KR-XXL,JNE3718,kurta,406.0,INR
408-6466311-6949931,SET014-KR-PP-XXL,SET014,Set,0.0,INR
171-4643830-2345965,SET408-KR-NP-XXL,SET408,Set,570.48,INR
406-7625210-8793109,J0254-SKD-XS,J0254,Set,789.0,INR
406-8665288-2025908,SAR114,SAR114,Saree,620.0,INR
408-6732772-4525113,J0010-LCD-XS,J0010,Set,0.0,INR
171-7068385-2777168,SET186-KR-DH-K-M,SET186,Set,631.0,INR
405-9930530-1209919,JNE3819-KR-L,JNE3819,kurta,499.0,INR
407-0288006-5535531,J0335-DR-L,J0335,Western Dress,807.0,INR
403-6363820-3080315,SET334-KR-NP-XXL,SET334,Set,666.0,INR
407-4283259-6933941,JNE3470-KR-XS,JNE3470,kurta,329.0,INR
407-3630361-4581152,JNE3619-KR-XS,JNE3619,kurta,,
408-6348199-2089932,J0283-SET-XL,J0283,Set,0.0,INR
408-5824761-8505932,JNE3440-KR-N-XL,JNE3440,kurta,399.0,INR
405-0722232-7258752,JNE3787-KR-XXL,JNE3787,kurta,487.0,INR
408-0224364-7467540,SET282-KR-PP-XXL,SET282,Set,1033.0,INR
408-2445040-0957913,JNE3691-TU-L,JNE3691,Top,625.0,INR
407-5524319-6977912,JNE3727-KR-XXL,JNE3727,kurta,,
